tag,CCTV1,CCTV2
G01_ALM,C6,NA
G02_ALM,C6,NA
G03_ALM,C6,NA
G04_ALM,C6,NA
G05_ALM,C6,NA
G06_ALM,C7,NA
G07_ALM,C7,NA
G08_ALM,C7,NA
G09_ALM,C7,NA
G10_ALM,C7,NA
G11_ALM,C7,NA
G12_ALM,C7,NA
G13_ALM,C7,NA
G14_ALM,C7,NA
G15_ALM,C7,NA
G16_ALM,C7,NA
G17_ALM,C7,NA
G18_ALM,C21,C24
G19_ALM,C7,NA
G20_ALM,C7,NA
G21_ALM,C8,NA
G22_ALM,C8,NA
G23_ALM,C8,NA
G24_ALM,C8,NA
G25_ALM,C8,NA
G26_ALM,C8,NA
G27_ALM,C8,NA
G28_ALM,C8,NA
G29_ALM,C8,NA
G30_ALM,C21,C24
G31_ALM,C21,C24
G32_ALM,C21,C24
G33_ALM,C21,C24
G34_ALM,C21,C24
G35_ALM,C13,C27
G36_ALM,C13,NA
G37_ALM,NA,NA
G100_HF_AL1,C18,C24
G100_HF_AL2,C18,C24
G101_IPA_AL1,C18,C24
G101_IPA_AL2,C18,C24
G102_NH3_AL1,C18,C24
G102_NH3_AL2,C18,C24
